num_beds,metric,mean,ci_lower,ci_upper,n_replications
16,admission_rate,1.0,1.0,1.0,30
16,rejection_rate,0.0,0.0,0.0,30
16,avg_waiting_time,0.005101257136284535,0.0011513845040783009,0.009051129768490769,30
16,avg_bed_utilization,0.7269157420249653,0.7216154019043926,0.7322160821455381,30
16,peak_queue_length,0.7,0.38758601171198137,1.0124139882880185,30
16,pct_time_queue_full,0.0,0.0,0.0,30
16,pct_time_under_pressure,0.0021729079981507166,0.0007291578957443646,0.0036166581005570688,30
16,avg_length_of_stay,23.938414511595074,23.82580426761679,24.05102475557336,30
16,rejection_rate_low,0.0,0.0,0.0,30
16,rejection_rate_medium,0.0,0.0,0.0,30
16,rejection_rate_high,0.0,0.0,0.0,30
18,admission_rate,1.0,1.0,1.0,30
18,rejection_rate,0.0,0.0,0.0,30
18,avg_waiting_time,0.00010538088985037398,-0.00011014722978593227,0.00032090900948668024,30
18,avg_bed_utilization,0.6479401037653465,0.6428559221024767,0.6530242854282163,30
18,peak_queue_length,0.03333333333333333,-0.034840988071090116,0.10150765473775678,30
18,pct_time_queue_full,0.0,0.0,0.0,30
18,pct_time_under_pressure,4.6232085067036525e-05,-4.832314572966732e-05,0.00014078731586374037,30
18,avg_length_of_stay,23.957507340704918,23.83003520288785,24.084979478521987,30
18,rejection_rate_low,0.0,0.0,0.0,30
18,rejection_rate_medium,0.0,0.0,0.0,30
18,rejection_rate_high,0.0,0.0,0.0,30
20,admission_rate,1.0,1.0,1.0,30
20,rejection_rate,0.0,0.0,0.0,30
20,avg_waiting_time,0.0,0.0,0.0,30
20,avg_bed_utilization,0.582766990291262,0.5787649093578057,0.5867690712247183,30
20,peak_queue_length,0.0,0.0,0.0,30
20,pct_time_queue_full,0.0,0.0,0.0,30
20,pct_time_under_pressure,0.0,0.0,0.0,30
20,avg_length_of_stay,23.897319400669236,23.812782545365398,23.981856255973074,30
20,rejection_rate_low,0.0,0.0,0.0,30
20,rejection_rate_medium,0.0,0.0,0.0,30
20,rejection_rate_high,0.0,0.0,0.0,30
24,admission_rate,1.0,1.0,1.0,30
24,rejection_rate,0.0,0.0,0.0,30
24,avg_waiting_time,0.0,0.0,0.0,30
24,avg_bed_utilization,0.48709932192941896,0.4830976916618475,0.4911009521969904,30
24,peak_queue_length,0.0,0.0,0.0,30
24,pct_time_queue_full,0.0,0.0,0.0,30
24,pct_time_under_pressure,0.0,0.0,0.0,30
24,avg_length_of_stay,23.98987510783423,23.901364754597562,24.078385461070898,30
24,rejection_rate_low,0.0,0.0,0.0,30
24,rejection_rate_medium,0.0,0.0,0.0,30
24,rejection_rate_high,0.0,0.0,0.0,30
